 60.00000  20.00000   0.00000   0.00000   0.00000   0.00000
 22.98891  -0.00000 -25.47891  -0.90000  -0.90000  97.08623
 23.70633  -0.00000 -25.43384  -0.86000  -0.90000  83.56669
 24.43355  -0.00000 -25.34507  -0.82000  -0.90000  69.60377
 25.17153  -0.00000 -25.21047  -0.78000  -0.90000  54.90860
 25.92047  -0.00000 -25.02745  -0.74000  -0.90000  39.23633
 26.48911  -0.00000 -24.85665  -0.71000  -0.90000  26.71228
 27.25565  -0.00000 -24.58166  -0.67000  -0.90000   8.83640
 28.03009  -0.00000 -24.24957  -0.63000  -0.90000 -10.53448
 28.80997  -0.00000 -23.85691  -0.59000  -0.90000 -31.53784
 29.59203  -0.00000 -23.40019  -0.55000  -0.90000 -54.28017
 30.17761  -0.00000 -23.01355  -0.52000  -0.90000 -72.52182
 30.95326  -0.00000 -22.43665  -0.48000  -0.90000 -98.45023
 31.71794  -0.00000 -21.78692  -0.44000  -0.90000 -126.20173
 32.46532  -0.00000 -21.06189  -0.40000  -0.90000 -155.70891
 33.18822  -0.00000 -20.25975  -0.36000  -0.90000 -186.83981
 33.70959  -0.00000 -19.60688  -0.33000  -0.90000 -211.13407
 34.37019  -0.00000 -18.66789  -0.29000  -0.90000 -244.57148
 34.98301  -0.00000 -17.65144  -0.25000  -0.90000 -278.88852
 35.53864  -0.00000 -16.55961  -0.21000  -0.90000 -313.66898
 36.02747  -0.00000 -15.39587  -0.17000  -0.90000 -348.42329
 36.34449  -0.00000 -14.47882  -0.14000  -0.90000 -374.14076
 36.69356  -0.00000 -13.20216  -0.10000  -0.90000 -407.48573
 36.95044  -0.00000 -11.87100  -0.06000  -0.90000 -439.17126
 37.10711  -0.00000 -10.49454  -0.02000  -0.90000 -468.55164
 37.15466  -0.00000  -9.43877   0.01000  -0.90000 -488.69004
 37.13955  -0.00000  -8.36833   0.04000  -0.90000 -506.91595
 37.01874  -0.00000  -6.92734   0.08000  -0.90000 -527.83145
 36.78030  -0.00000  -5.48269   0.12000  -0.90000 -544.42353
 36.42318  -0.00000  -4.04793   0.16000  -0.90000 -556.28897
 35.94838  -0.00000  -2.63677   0.20000  -0.90000 -563.14066
 35.51675  -0.00000  -1.60201   0.23000  -0.90000 -564.88938
 34.84431  -0.00000  -0.26422   0.27000  -0.90000 -562.67074
 34.06698   0.00000   1.01453   0.31000  -0.90000 -555.33590
 33.19271   0.00000   2.22320   0.35000  -0.90000 -543.10134
 32.23087   0.00000   3.35214   0.39000  -0.90000 -526.30563
 31.45831   0.00000   4.14165   0.42000  -0.90000 -510.97919
 30.36895   0.00000   5.11285   0.46000  -0.90000 -487.32067
 29.22256   0.00000   5.98658   0.50000  -0.90000 -460.50843
 28.03097   0.00000   6.75975   0.54000  -0.90000 -431.15703
 26.80590   0.00000   7.43103   0.58000  -0.90000 -399.89531
 25.87194   0.00000   7.86776   0.61000  -0.90000 -375.56869
 24.61507   0.00000   8.36238   0.65000  -0.90000 -342.43505
 23.35409   0.00000   8.75934   0.69000  -0.90000 -309.00693
 22.09804   0.00000   9.06246   0.73000  -0.90000 -275.77738
 20.85490   0.00000   9.27642   0.77000  -0.90000 -243.17044
 19.93517   0.00000   9.38155   0.80000  -0.90000 -219.33711
